@iter: 339, score: 185, epsilon: 0.03
@iter: 340, score: 107, epsilon: 0.03
@iter: 341, score: 79, epsilon: 0.03
@iter: 342, score: 79, epsilon: 0.03
@iter: 343, score: 85, epsilon: 0.03
@iter: 344, score: 16, epsilon: 0.03
@iter: 345, score: 83, epsilon: 0.03
@iter: 346, score: 112, epsilon: 0.03
@iter: 347, score: 94, epsilon: 0.03
@iter: 348, score: 92, epsilon: 0.03
@iter: 349, score: 9, epsilon: 0.03
@iter: 350, score: 72, epsilon: 0.03
@iter: 351, score: 9, epsilon: 0.03
@iter: 352, score: 10, epsilon: 0.03
@iter: 353, score: 9, epsilon: 0.03
@iter: 354, score: 10, epsilon: 0.03
@iter: 355, score: 12, epsilon: 0.03
@iter: 356, score: 10, epsilon: 0.03
@iter: 357, score: 89, epsilon: 0.03
@iter: 358, score: 97, epsilon: 0.03
@iter: 359, score: 199, epsilon: 0.03
@iter: 360, score: 199, epsilon: 0.03
@iter: 361, score: 139, epsilon: 0.03
@iter: 362, score: 100, epsilon: 0.03
@iter: 363, score: 102, epsilon: 0.03
@iter: 364, score: 144, epsilon: 0.03
@iter: 365, score: 93, epsilon: 0.03
@iter: 366, score: 88, epsilon: 0.03
@iter: 367, score: 105, epsilon: 0.03
@iter: 368, score: 105, epsilon: 0.02
@iter: 369, score: 105, epsilon: 0.02
@iter: 370, score: 99, epsilon: 0.02
@iter: 371, score: 109, epsilon: 0.02
@iter: 372, score: 88, epsilon: 0.02
@iter: 373, score: 70, epsilon: 0.02
@iter: 374, score: 81, epsilon: 0.02
@iter: 375, score: 83, epsilon: 0.02
@iter: 376, score: 105, epsilon: 0.02
@iter: 377, score: 84, epsilon: 0.02
@iter: 378, score: 89, epsilon: 0.02
@iter: 379, score: 93, epsilon: 0.02
@iter: 380, score: 90, epsilon: 0.02
@iter: 381, score: 94, epsilon: 0.02
@iter: 382, score: 85, epsilon: 0.02
@iter: 383, score: 107, epsilon: 0.02
@iter: 384, score: 198, epsilon: 0.02
@iter: 385, score: 198, epsilon: 0.02
@iter: 386, score: 140, epsilon: 0.02
@iter: 387, score: 120, epsilon: 0.02
@iter: 388, score: 138, epsilon: 0.02
@iter: 389, score: 199, epsilon: 0.02
@iter: 390, score: 119, epsilon: 0.02
@iter: 391, score: 111, epsilon: 0.02
@iter: 392, score: 164, epsilon: 0.02
@iter: 393, score: 199, epsilon: 0.02
@iter: 394, score: 132, epsilon: 0.02
@iter: 395, score: 109, epsilon: 0.02
@iter: 396, score: 97, epsilon: 0.02
@iter: 397, score: 147, epsilon: 0.02
@iter: 398, score: 154, epsilon: 0.02
